"Story","Title","Result","Date","Stability","Duration (s)"
"Mentor post genre","mentor post genre with no authorization","SUCCESS","2023-04-06T09:14:36.489+07:00[Asia/Bangkok]","0.0","0.35"
"[MusicLab-API] Get Feature Instrument","[Positive Case] Get All List Instruments Normal Condition","SUCCESS","2023-04-06T09:14:36.851+07:00[Asia/Bangkok]","0.0","0.38"
"[MusicLab-API] Get Feature Instrument","[Negative Case] Get Single List Instruments Invalid ID","SUCCESS","2023-04-06T09:14:37.244+07:00[Asia/Bangkok]","0.0","0.33"
"[MusicLab-API] Get Feature Instrument","[Positive Case] Get Single List Instruments Valid ID","SUCCESS","2023-04-06T09:14:37.578+07:00[Asia/Bangkok]","0.0","0.41"
"[MusicLab-API] Post Feature Instrument","[Negative Case] Post Create Mentors Instruments Invalid JSON","ERROR","2023-04-06T09:14:38.001+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Post Feature Instrument","[Negative Case] Post Create Mentors Instruments No Auth","ERROR","2023-04-06T09:14:38.031+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Post Feature Instrument","[Positive Case] Post Create Mentors Instruments Valid JSON","ERROR","2023-04-06T09:14:38.059+07:00[Asia/Bangkok]","0.0","0.02"
"[MusicLab-API] Delete Feature Instrument","[Negative Case] Delete Instruments Valid ID No Auth","SUCCESS","2023-04-06T09:14:38.085+07:00[Asia/Bangkok]","0.0","0.33"
"[MusicLab-API] Delete Feature Instrument","[Negative Case] Delete Instruments Invalid ID","FAILURE","2023-04-06T09:14:38.42+07:00[Asia/Bangkok]","0.0","0.34"
"[MusicLab-API] Delete Feature Instrument","[Negative Case] Delete Instruments Blank ID","ERROR","2023-04-06T09:14:38.767+07:00[Asia/Bangkok]","0.0","0.01"
"[MusicLab-API] Delete Feature Instrument","[Positive Case] Delete Instruments Valid ID","SUCCESS","2023-04-06T09:14:38.789+07:00[Asia/Bangkok]","0.0","0.5"
"[MusicLab-API] Get Feature Mentors","[Negative Case] Get All List Mentors With Invalid Parameters","FAILURE","2023-04-06T09:14:39.3+07:00[Asia/Bangkok]","0.0","2.77"
